Employee_ID,Login_Attempts,Failed_Logins,Password_Resets,Security_Risk_Score
E001,20,2,1,25
E002,35,5,1,33
E003,50,10,2,60
E004,65,8,3,75
E005,80,7,2,72
E006,95,15,4,110
E007,110,10,2,98
E008,125,12,3,105
E009,140,20,5,160
E010,155,18,4,155
E011,170,22,6,190
E012,185,17,3,168
E013,200,25,7,220
E014,215,23,6,210
E015,230,28,8,260
E016,245,24,7,235
E017,260,26,8,250
E018,275,30,10,300
E019,290,27,9,280
E020,305,35,12,350
E021,320,33,11,340
E022,335,31,10,330
E023,350,40,13,390
E024,365,38,12,375
E025,380,45,15,440
E026,395,41,13,415
E027,410,47,15,450
E028,425,42,14,420
E029,440,50,16,480
E030,455,48,15,470
E031,470,55,17,530
E032,485,50,15,500
E033,500,60,20,600
E034,515,57,18,570
E035,530,62,20,630
E036,545,65,22,660
E037,560,60,18,590
E038,575,68,23,690
E039,590,70,24,720
E040,605,73,25,760
E041,620,75,25,780
E042,635,77,26,820
E043,650,80,27,850
E044,665,78,26,830
E045,680,85,28,880
E046,695,83,27,860
E047,710,90,30,920
E048,725,88,29,910
E049,740,95,32,970
E050,755,92,30,940
